Movie Name,Year,Timing(min),Rating(10),Votes,Genre,Language
Dr. Shaitan,1960,120,5.0,0,0,5
Nadir Khan,1968,120,5.0,0,0,19
Apna Sapna Money Money,2006,134,5.3,1892,51519,5
Aag Aur Sholay,1987,120,2.2,20,0,19
Parivar,1956,120,7.4,21,589,5
Humraah: The Traitor,2008,120,5.0,0,24,5
Jacqueline I Am Coming,2019,112,7.9,16,8,5
A Mighty Heart,2007,108,6.6,26885,4812,19
Midnight Mail,1939,120,5.0,0,1,5
Raktalekha,1992,175,6.3,12,8,2
Veedevadandi Babu,1997,138,5.6,218,5,17
A Mayalu Timi Lai,2018,120,5.0,0,2114,11
Da Tang Xuan Zang,2016,90,6.2,379,412,15
Sikandar,1976,120,5.0,0,0,5
Pehla Qadam,1958,120,5.0,0,0,19
Amman Koil Kizhakkaalae,1986,141,6.9,63,8,16
Shatru,2013,120,4.5,11,124,6
Kamal Khatri Feat. Simpal Kharel: Jaula Relaima,2017,5,5.0,0,2114,11
Zinda Jala Doonga,1988,120,5.0,0,1,5
Tukaram,2012,156,7.3,231,4812,10
Ramante Edenthottam,2017,122,6.0,459,5819,9
Faslah,1974,120,5.0,0,6819,5
Jawani Ki Ghabrahat,1991,120,5.0,0,24,5
Anbu Chinnam,1990,120,5.0,0,0,16
Naveed,2020,57,5.0,0,7,19
Ramudu Bheemudu,1988,141,5.0,0,8,17
Vaade Kavali,2009,120,5.0,0,19,17
Aakhri Muqabla,1978,120,5.0,0,1,5
Dracula,1999,92,4.1,16,13,5
Jahanara,1935,120,5.0,0,0,5
Geet,1970,120,7.1,98,1615,5
Sej Piya Ki,1985,120,5.0,0,8,5
Sati Sita Luv Kush,1981,120,5.0,0,8,5
Nuvvu Vasthavani,2000,158,6.6,160,919,17
Jam,0,120,5.0,0,8,2
Madadgaar,1987,120,5.4,11,168,5
Hamra Se Biyah Karba,2003,120,5.0,0,8,3
Milan Ki Raat,1967,120,4.4,7,819,5
Bhool Bhulaiyan,1933,120,6.0,6,5,5
Saajan Chale Sasural,1996,134,6.0,1312,58,5
Khaleja,2010,170,7.6,8284,1510,17
Rogue,2017,134,5.1,118,124,6
Shaan,0,166,5.0,0,1,5
Bhale Bullodu,1995,120,5.0,0,8,17
Jaal,1973,120,5.0,0,15,19
Yuvakudu,2000,145,6.9,110,19,17
Goolihatti,2015,156,5.0,0,8,6
Hamara Ghar,1950,120,5.0,0,0,5
Olessia,2019,120,8.1,40,815,9
Prohibited,2015,12,8.2,25,21824,19
Sunday,2008,135,5.3,2592,1516,5
The Destiny,0,120,5.0,0,4,5
Spy in Goa,1966,120,5.0,0,124,5
Time to Dance,2021,113,1.3,406,1519,5
Gopi Kishan,1994,161,5.5,805,158,5
Nigahen: Nagina Part II,1989,140,5.2,286,8910,5
Dobara Phir Se,2016,127,6.6,427,8,19
Pagaivan,1997,142,5.2,82,15,16
Red Alert: The War Within,2009,120,6.4,337,1824,5
Adhikar,1938,132,5.0,0,0,5
Hasta Melapa,1969,120,5.0,0,8,4
Gangavatarana,1984,120,5.0,0,0,17
Amnol Sahara,1952,120,5.0,0,8,5
Waqt Ka Shahenshah,1987,120,4.9,11,1,5
Coffee Bloom,2015,90,5.9,101,8,5
Laila Majnu,1976,140,7.2,259,81519,12
Vidiyum Munn,2013,129,7.4,434,24,16
Olappeeppi,2016,121,7.6,120,8,9
Duniya Ke Rangeen Raatein,1997,120,5.0,0,8,5
Timi Sanga,2018,120,6.1,11,19,11
Oho Naa Pellanta,1996,120,6.2,19,5,17
Ivanu Thumba Orata,2009,120,5.0,0,8,6
Apnapan,1977,133,6.5,73,819,5
Saath Laakh,1957,125,5.0,0,1519,19
Insaan,1966,120,5.0,0,0,19
Takrav,2018,120,5.0,0,119,3
Highway,2014,133,7.6,26801,6819,5
Pratipaksha,1988,108,6.9,8,18,2
Har Raat Naya Khiladi,1990,120,5.0,0,24,5
Naanaage Naanillai,2016,120,5.0,0,8,16
Atma Tarang,1937,120,5.0,0,0,5
Dehorokkhi: The Bodyguard,2013,167,6.8,402,1,2
Beru,2005,104,8.3,19,8,6
Paigham,1988,168,5.0,0,10,5
Akela,0,120,5.0,0,8,5
The Rubiks game,2014,30,5.0,0,2124,9
Anthervedam,2018,120,5.0,0,24,17
Enakkul Oru Kadhal,2009,97,5.0,0,8,16
Samsara Nauka,1989,120,5.0,0,0,6
Patthe Bapurao,1950,143,5.0,0,0,10
Vida Parayaanmathram,1988,120,5.0,0,0,9
White,2016,149,3.0,471,19,9
Sayahnam,2000,120,7.0,10,0,9
Preetam,2021,120,9.0,15,19,10
Britto,2014,124,7.5,12,8,2
Amrutha Geetham,1982,120,5.0,0,0,9
Pyar Ka Jigar,2003,120,5.0,0,19,5
Stalin Sivadas,1999,118,2.7,47,124,9
Dheeran,1987,120,5.0,0,0,9
Gopichand Jasoos,1982,150,5.9,123,524,5
Vikrant Rona,2021,120,5.0,0,1210,6
Joy: The Real Love Story,2007,127,2.1,1601,81924,5
Dharavi,1992,120,7.1,282,68,5
Kamadhenu,1976,120,5.0,0,0,9
Sansarer Itikatha,1983,120,5.0,0,8,2
Shani Arshad: Adha Adha,2019,5,5.0,0,2114,19
Noces,2016,98,7.1,1360,8,12
Tu Heer Main Tera Hero,2021,120,5.0,0,5,19
Madi Veetu Ezhai,1981,120,5.0,0,0,16
Khoobsurat Kali,2003,120,5.0,0,24,5
Puthayal,1997,144,5.9,51,0,16
Urimai,1985,120,5.0,0,0,16
Babai Abbai,1984,117,6.3,102,519,17
Yaar Meri Zindagi,2008,120,4.8,39,8915,5
Denied: A Life Confined,2013,22,5.0,0,7,11
Jhoomar,2007,120,6.9,7,0,12
Hututu,2014,138,5.0,5,5,10
Parchhaeen,1989,120,5.0,0,24,5
Chettathi,1965,120,5.0,0,0,6
Sharda,1981,126,5.5,19,89,5
Satyanweshi Byomkesh,2019,108,6.5,267,61624,2
Mahan,1996,132,6.0,8,89,2
Takht-O-Taj,1970,120,5.0,0,0,19
Death Match,0,120,5.0,0,1224,11
Kanthaswamy,2009,190,5.0,1567,16,16
Vishwa Thulasi,2004,120,6.1,32,81519,16
Saakshyam,2018,166,4.7,437,1,17
Circus Queen,1959,120,5.0,0,1,5
"Haseena: Smart, Sexy, Dangerous",2006,120,5.0,0,24,5
Seemana,1996,120,8.9,8,18,11
Weather Report,2017,91,5.0,0,8,10
Shutter,2012,133,7.7,1017,24,9
Maithaanam,2011,125,5.9,7,8916,16
Sons of Ram,2012,85,6.6,76,3815,16
Duti Mon,2011,120,5.0,0,8,2
Swapna Lokam,1999,120,5.0,0,19,17
Pattalam,2003,159,5.1,316,158,9
The Twelve Thousand,2020,28,5.0,0,218,11
Indulekha (Malayalam),2020,22,5.0,0,8,9
Sukham Sukhakaram,1994,120,5.0,0,0,9
Santa,1961,120,5.0,0,8,17
Mullamottum Munthiricharum,2012,120,4.3,14,8,9
Fired,2010,87,4.4,260,13,5
Dillagi,1999,188,5.3,1068,81519,5
Nesi,2009,120,5.0,0,8,16
Kaana Kanmani,2009,132,4.4,106,813,9
Bhagwaan Dada,1986,147,4.3,167,824,5
A 2nd Hand Lover,2015,135,5.0,0,19,6
Sampoorna Sant Darshanam,1978,120,5.0,0,8,5
Avar Enakke Sontham,1977,66,5.0,0,0,16
Dharti ke God Mein,1971,120,5.0,0,8,5
Valar Pirai,1962,120,5.0,0,0,16
Shaitaan: A Vision of Madness,2018,65,5.0,0,24,5
Haaru Hakkiyaneri,2010,120,5.0,0,8,6
Payal Ki Jhankar,1968,132,4.4,12,125,5
Juniors,2003,120,5.2,13,19,17
Palkon Ki Chhaon Mein,1977,127,7.5,65,819,5
Dil Ka Sathi Dil,1982,120,6.7,18,19,5
Mounamelanoyi,2002,154,6.7,16,19,17
Punar Milan,1940,120,5.0,0,819,5
Maa Shakti,2002,120,8.4,15,12,9
Let's Break Up,2020,120,5.0,0,0,6
HIRER SHIKAL,1988,126,5.0,0,819,2
Mohanlal,2018,150,4.5,507,5,9
Dharti Ke Lal,1950,125,6.4,16,812,5
Angadipattu,2018,23,5.0,0,5,9
